GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US10708,10708,ZCTA5 10708,356855
8600000US10709,10709,ZCTA5 10709,134220
8600000US10710,10710,ZCTA5 10710,429115
8600000US10801,10801,ZCTA5 10801,574930
8600000US10803,10803,ZCTA5 10803,196390
8600000US10804,10804,ZCTA5 10804,231840
8600000US10805,10805,ZCTA5 10805,265235
8600000US10901,10901,ZCTA5 10901,343640
8600000US10911,10911,ZCTA5 10911,-
8600000US10913,10913,ZCTA5 10913,79165
8600000US10914,10914,ZCTA5 10914,6455
8600000US10916,10916,ZCTA5 10916,61615
8600000US10917,10917,ZCTA5 10917,34890
8600000US10918,10918,ZCTA5 10918,219215
8600000US10920,10920,ZCTA5 10920,119550
8600000US10921,10921,ZCTA5 10921,64060
8600000US10923,10923,ZCTA5 10923,143400
8600000US10924,10924,ZCTA5 10924,193270
8600000US10925,10925,ZCTA5 10925,109320
8600000US10926,10926,ZCTA5 10926,60940
8600000US10927,10927,ZCTA5 10927,161970
8600000US10928,10928,ZCTA5 10928,45695
8600000US10930,10930,ZCTA5 10930,150115
8600000US10931,10931,ZCTA5 10931,10725
8600000US10940,10940,ZCTA5 10940,731455
8600000US10941,10941,ZCTA5 10941,201755
8600000US10950,10950,ZCTA5 10950,579425
8600000US10952,10952,ZCTA5 10952,315090
8600000US10954,10954,ZCTA5 10954,365080
8600000US10956,10956,ZCTA5 10956,495095
8600000US10958,10958,ZCTA5 10958,43455
8600000US10960,10960,ZCTA5 10960,221420
8600000US10962,10962,ZCTA5 10962,72960
8600000US10963,10963,ZCTA5 10963,40015
8600000US10964,10964,ZCTA5 10964,18305
8600000US10965,10965,ZCTA5 10965,233395
8600000US10968,10968,ZCTA5 10968,39690
8600000US10969,10969,ZCTA5 10969,25530
8600000US10970,10970,ZCTA5 10970,143125
8600000US10973,10973,ZCTA5 10973,34690
8600000US10974,10974,ZCTA5 10974,47950
8600000US10976,10976,ZCTA5 10976,29465
8600000US10977,10977,ZCTA5 10977,652480
8600000US10980,10980,ZCTA5 10980,226010
8600000US10983,10983,ZCTA5 10983,80400
8600000US10984,10984,ZCTA5 10984,53090
8600000US10986,10986,ZCTA5 10986,30195
8600000US10987,10987,ZCTA5 10987,52810
8600000US10988,10988,ZCTA5 10988,16070
8600000US10989,10989,ZCTA5 10989,166895
8600000US10990,10990,ZCTA5 10990,326745
8600000US10992,10992,ZCTA5 10992,191845
8600000US10993,10993,ZCTA5 10993,45700
8600000US10994,10994,ZCTA5 10994,110710
8600000US10996,10996,ZCTA5 10996,22580
8600000US10998,10998,ZCTA5 10998,51810
8600000US11001,11001,ZCTA5 11001,473790
8600000US11003,11003,ZCTA5 11003,908250
8600000US11004,11004,ZCTA5 11004,276800
8600000US11005,11005,ZCTA5 11005,13450
8600000US11010,11010,ZCTA5 11010,380725
8600000US11020,11020,ZCTA5 11020,100295
8600000US11021,11021,ZCTA5 11021,289365
8600000US11023,11023,ZCTA5 11023,126255
8600000US11024,11024,ZCTA5 11024,99585
8600000US11030,11030,ZCTA5 11030,259575
8600000US11040,11040,ZCTA5 11040,696480
8600000US11042,11042,ZCTA5 11042,-
8600000US11050,11050,ZCTA5 11050,540825
8600000US11101,11101,ZCTA5 11101,462760
8600000US11102,11102,ZCTA5 11102,682780
8600000US11103,11103,ZCTA5 11103,869370
8600000US11104,11104,ZCTA5 11104,549830
8600000US11105,11105,ZCTA5 11105,788795
8600000US11106,11106,ZCTA5 11106,778855
8600000US11109,11109,ZCTA5 11109,111310
8600000US11201,11201,ZCTA5 11201,985430
8600000US11203,11203,ZCTA5 11203,1449870
8600000US11204,11204,ZCTA5 11204,1263335
8600000US11205,11205,ZCTA5 11205,661025
8600000US11206,11206,ZCTA5 11206,1249810
8600000US11207,11207,ZCTA5 11207,1677315
8600000US11208,11208,ZCTA5 11208,1573560
8600000US11209,11209,ZCTA5 11209,1383700
8600000US11210,11210,ZCTA5 11210,1214690
8600000US11211,11211,ZCTA5 11211,1443620
8600000US11212,11212,ZCTA5 11212,1409245
8600000US11213,11213,ZCTA5 11213,1087075
8600000US11214,11214,ZCTA5 11214,1914785
8600000US11215,11215,ZCTA5 11215,1456175
8600000US11216,11216,ZCTA5 11216,1176225
8600000US11217,11217,ZCTA5 11217,716790
8600000US11218,11218,ZCTA5 11218,1282890
8600000US11219,11219,ZCTA5 11219,1282190
8600000US11220,11220,ZCTA5 11220,1916315
8600000US11221,11221,ZCTA5 11221,1557275
8600000US11222,11222,ZCTA5 11222,793785
8600000US11223,11223,ZCTA5 11223,1382005
8600000US11224,11224,ZCTA5 11224,696615
8600000US11225,11225,ZCTA5 11225,1173950
8600000US11226,11226,ZCTA5 11226,1999755
8600000US11228,11228,ZCTA5 11228,858355
8600000US11229,11229,ZCTA5 11229,1512715
8600000US11230,11230,ZCTA5 11230,1319515
8600000US11231,11231,ZCTA5 11231,655410
8600000US11232,11232,ZCTA5 11232,545185
8600000US11233,11233,ZCTA5 11233,1254450
8600000US11234,11234,ZCTA5 11234,1950200
8600000US11235,11235,ZCTA5 11235,1440320
8600000US11236,11236,ZCTA5 11236,2325880
8600000US11237,11237,ZCTA5 11237,1010225
8600000US11238,11238,ZCTA5 11238,1142115
8600000US11239,11239,ZCTA5 11239,215765
8600000US11351,11351,ZCTA5 11351,-
8600000US11354,11354,ZCTA5 11354,1044885
8600000US11355,11355,ZCTA5 11355,1417855
8600000US11356,11356,ZCTA5 11356,435090
8600000US11357,11357,ZCTA5 11357,653910
8600000US11358,11358,ZCTA5 11358,732470
8600000US11359,11359,ZCTA5 11359,-
8600000US11360,11360,ZCTA5 11360,347390
8600000US11361,11361,ZCTA5 11361,568880
8600000US11362,11362,ZCTA5 11362,330310
8600000US11363,11363,ZCTA5 11363,132285
