GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
8600000US12987,12987,ZCTA5 12987,58,9,0,5,31
8600000US12989,12989,ZCTA5 12989,390,48,5,3,16
8600000US12992,12992,ZCTA5 12992,1829,326,0,38,62
8600000US12993,12993,ZCTA5 12993,528,54,0,7,46
8600000US12996,12996,ZCTA5 12996,741,124,5,47,97
8600000US12997,12997,ZCTA5 12997,542,61,4,35,39
8600000US12998,12998,ZCTA5 12998,150,0,0,0,0
8600000US13020,13020,ZCTA5 13020,78,3,0,0,0
8600000US13021,13021,ZCTA5 13021,14560,1275,324,1038,541
8600000US13024,13024,ZCTA5 13024,0,0,0,0,0
8600000US13026,13026,ZCTA5 13026,583,83,6,158,73
8600000US13027,13027,ZCTA5 13027,14017,1330,44,140,716
8600000US13028,13028,ZCTA5 13028,625,16,0,16,19
8600000US13029,13029,ZCTA5 13029,3304,158,74,94,210
8600000US13030,13030,ZCTA5 13030,1638,61,0,68,35
8600000US13031,13031,ZCTA5 13031,7270,388,23,89,306
8600000US13032,13032,ZCTA5 13032,5244,321,3,55,277
8600000US13033,13033,ZCTA5 13033,1543,154,0,53,57
8600000US13034,13034,ZCTA5 13034,859,63,0,0,9
8600000US13035,13035,ZCTA5 13035,3154,294,19,331,291
8600000US13036,13036,ZCTA5 13036,3381,330,62,45,113
8600000US13037,13037,ZCTA5 13037,4076,287,3,84,199
8600000US13039,13039,ZCTA5 13039,8451,362,0,26,218
8600000US13040,13040,ZCTA5 13040,956,107,0,21,26
8600000US13041,13041,ZCTA5 13041,5237,739,0,44,232
8600000US13042,13042,ZCTA5 13042,982,81,2,7,52
8600000US13044,13044,ZCTA5 13044,1034,131,0,19,18
8600000US13045,13045,ZCTA5 13045,10681,1503,121,1322,592
8600000US13051,13051,ZCTA5 13051,90,0,0,0,0
8600000US13052,13052,ZCTA5 13052,487,71,0,43,13
8600000US13053,13053,ZCTA5 13053,1648,280,55,114,152
8600000US13054,13054,ZCTA5 13054,514,0,0,0,75
8600000US13057,13057,ZCTA5 13057,5647,445,83,114,450
8600000US13060,13060,ZCTA5 13060,1380,84,12,13,55
8600000US13061,13061,ZCTA5 13061,415,59,0,0,43
8600000US13062,13062,ZCTA5 13062,22,7,0,0,0
8600000US13063,13063,ZCTA5 13063,871,68,1,224,43
8600000US13064,13064,ZCTA5 13064,12,0,0,0,6
8600000US13066,13066,ZCTA5 13066,5306,429,56,56,366
8600000US13068,13068,ZCTA5 13068,2305,273,24,77,89
8600000US13069,13069,ZCTA5 13069,8004,979,18,329,377
8600000US13071,13071,ZCTA5 13071,354,31,4,14,22
8600000US13072,13072,ZCTA5 13072,251,14,0,15,13
8600000US13073,13073,ZCTA5 13073,2914,210,25,108,167
8600000US13074,13074,ZCTA5 13074,1415,210,40,38,67
8600000US13076,13076,ZCTA5 13076,1022,72,0,17,76
8600000US13077,13077,ZCTA5 13077,3077,275,10,43,156
8600000US13078,13078,ZCTA5 13078,3720,339,39,16,294
8600000US13080,13080,ZCTA5 13080,1439,170,0,16,21
8600000US13081,13081,ZCTA5 13081,534,51,0,4,19
8600000US13082,13082,ZCTA5 13082,2243,52,0,18,51
8600000US13083,13083,ZCTA5 13083,748,99,7,2,22
8600000US13084,13084,ZCTA5 13084,1603,153,0,19,79
8600000US13087,13087,ZCTA5 13087,12,0,0,0,0
8600000US13088,13088,ZCTA5 13088,10179,698,167,100,373
8600000US13090,13090,ZCTA5 13090,13862,1044,223,138,612
8600000US13092,13092,ZCTA5 13092,965,99,2,39,57
8600000US13101,13101,ZCTA5 13101,977,167,10,0,29
8600000US13102,13102,ZCTA5 13102,0,0,0,0,0
8600000US13103,13103,ZCTA5 13103,109,0,0,0,42
8600000US13104,13104,ZCTA5 13104,6157,656,66,110,435
8600000US13108,13108,ZCTA5 13108,2705,244,11,60,203
8600000US13110,13110,ZCTA5 13110,980,114,0,18,141
8600000US13111,13111,ZCTA5 13111,558,40,4,9,48
8600000US13112,13112,ZCTA5 13112,710,53,0,0,0
8600000US13113,13113,ZCTA5 13113,110,7,3,0,1
8600000US13114,13114,ZCTA5 13114,2657,235,11,75,144
8600000US13115,13115,ZCTA5 13115,76,13,1,4,4
8600000US13116,13116,ZCTA5 13116,1404,123,20,0,66
8600000US13117,13117,ZCTA5 13117,101,8,0,0,0
8600000US13118,13118,ZCTA5 13118,2138,159,3,97,100
8600000US13120,13120,ZCTA5 13120,952,55,64,44,12
8600000US13122,13122,ZCTA5 13122,495,35,0,9,89
8600000US13123,13123,ZCTA5 13123,155,0,0,0,0
8600000US13124,13124,ZCTA5 13124,44,2,0,0,0
8600000US13126,13126,ZCTA5 13126,12192,1117,258,1305,396
8600000US13131,13131,ZCTA5 13131,1378,181,0,71,29
8600000US13132,13132,ZCTA5 13132,1313,224,0,25,100
8600000US13134,13134,ZCTA5 13134,44,24,0,0,3
8600000US13135,13135,ZCTA5 13135,2480,401,26,45,193
8600000US13136,13136,ZCTA5 13136,125,22,0,12,4
8600000US13138,13138,ZCTA5 13138,0,0,0,0,0
8600000US13140,13140,ZCTA5 13140,1962,197,5,14,71
8600000US13141,13141,ZCTA5 13141,270,79,2,11,2
8600000US13142,13142,ZCTA5 13142,1875,215,4,106,76
8600000US13143,13143,ZCTA5 13143,949,122,0,68,18
8600000US13144,13144,ZCTA5 13144,597,81,11,12,31
8600000US13145,13145,ZCTA5 13145,669,67,3,11,37
8600000US13146,13146,ZCTA5 13146,726,54,7,4,36
8600000US13147,13147,ZCTA5 13147,575,71,0,8,66
8600000US13148,13148,ZCTA5 13148,3942,567,18,184,229
8600000US13152,13152,ZCTA5 13152,3390,114,14,149,292
8600000US13153,13153,ZCTA5 13153,226,19,0,0,0
8600000US13155,13155,ZCTA5 13155,268,34,0,38,1
8600000US13156,13156,ZCTA5 13156,758,80,14,10,26
8600000US13157,13157,ZCTA5 13157,103,0,0,0,11
8600000US13158,13158,ZCTA5 13158,584,92,0,18,39
8600000US13159,13159,ZCTA5 13159,2083,310,10,33,263
8600000US13160,13160,ZCTA5 13160,765,113,0,86,55
8600000US13162,13162,ZCTA5 13162,107,0,0,0,0
8600000US13163,13163,ZCTA5 13163,147,14,0,12,4
8600000US13164,13164,ZCTA5 13164,977,70,0,7,34
8600000US13165,13165,ZCTA5 13165,4369,447,35,79,141
8600000US13166,13166,ZCTA5 13166,2392,151,0,23,51
8600000US13167,13167,ZCTA5 13167,1399,69,0,8,43
8600000US13202,13202,ZCTA5 13202,740,128,175,611,48
8600000US13203,13203,ZCTA5 13203,4389,827,709,486,199
8600000US13204,13204,ZCTA5 13204,5197,677,855,676,204
8600000US13205,13205,ZCTA5 13205,3973,764,903,208,163
8600000US13206,13206,ZCTA5 13206,6568,604,510,233,145
8600000US13207,13207,ZCTA5 13207,4265,496,456,281,253
8600000US13208,13208,ZCTA5 13208,5885,1335,519,438,242
8600000US13209,13209,ZCTA5 13209,5539,495,91,241,164
8600000US13210,13210,ZCTA5 13210,4574,654,1232,3396,588
8600000US13211,13211,ZCTA5 13211,2605,291,60,232,26
8600000US13212,13212,ZCTA5 13212,7879,877,76,264,471
8600000US13214,13214,ZCTA5 13214,3187,392,53,383,102
8600000US13215,13215,ZCTA5 13215,6821,409,30,121,297
8600000US13219,13219,ZCTA5 13219,6455,598,103,185,247
8600000US13224,13224,ZCTA5 13224,2956,379,155,156,136
8600000US13290,13290,ZCTA5 13290,0,0,0,0,0
8600000US13301,13301,ZCTA5 13301,25,16,0,0,0
8600000US13302,13302,ZCTA5 13302,492,121,30,4,20
8600000US13303,13303,ZCTA5 13303,536,21,0,27,21
8600000US13304,13304,ZCTA5 13304,638,52,10,0,50
8600000US13305,13305,ZCTA5 13305,155,17,0,0,0
8600000US13308,13308,ZCTA5 13308,1113,171,0,18,19
8600000US13309,13309,ZCTA5 13309,1817,275,0,152,165
8600000US13310,13310,ZCTA5 13310,184,23,0,0,0
8600000US13312,13312,ZCTA5 13312,135,9,0,18,3
8600000US13313,13313,ZCTA5 13313,205,17,0,19,1
8600000US13314,13314,ZCTA5 13314,108,30,0,3,3
8600000US13315,13315,ZCTA5 13315,543,92,13,0,6
8600000US13316,13316,ZCTA5 13316,2449,189,7,116,115
8600000US13317,13317,ZCTA5 13317,1454,169,10,18,84
8600000US13318,13318,ZCTA5 13318,551,36,0,0,28
8600000US13319,13319,ZCTA5 13319,279,39,0,0,0
8600000US13320,13320,ZCTA5 13320,815,105,18,72,95
8600000US13321,13321,ZCTA5 13321,412,31,0,18,10
8600000US13322,13322,ZCTA5 13322,443,41,0,0,17
8600000US13323,13323,ZCTA5 13323,4011,248,33,617,310
8600000US13324,13324,ZCTA5 13324,784,42,5,37,40
8600000US13325,13325,ZCTA5 13325,358,40,0,29,48
8600000US13326,13326,ZCTA5 13326,1793,202,53,435,184
8600000US13327,13327,ZCTA5 13327,664,103,6,69,9
8600000US13328,13328,ZCTA5 13328,671,67,0,5,36
8600000US13329,13329,ZCTA5 13329,1344,173,0,75,27
8600000US13331,13331,ZCTA5 13331,46,0,0,9,0
8600000US13332,13332,ZCTA5 13332,1009,83,0,55,80
8600000US13333,13333,ZCTA5 13333,8,0,0,0,0
8600000US13334,13334,ZCTA5 13334,387,58,0,56,108
8600000US13335,13335,ZCTA5 13335,596,40,6,27,36
8600000US13337,13337,ZCTA5 13337,285,0,0,14,38
8600000US13338,13338,ZCTA5 13338,397,45,0,5,17
8600000US13339,13339,ZCTA5 13339,2127,194,22,84,181
8600000US13340,13340,ZCTA5 13340,3286,380,1,66,67
8600000US13341,13341,ZCTA5 13341,79,9,4,5,3
8600000US13342,13342,ZCTA5 13342,116,28,0,8,12
8600000US13343,13343,ZCTA5 13343,621,75,0,32,50
8600000US13345,13345,ZCTA5 13345,92,7,0,0,0
8600000US13346,13346,ZCTA5 13346,1524,83,62,547,218
8600000US13348,13348,ZCTA5 13348,591,81,30,5,45
8600000US13350,13350,ZCTA5 13350,3246,407,96,454,129
8600000US13352,13352,ZCTA5 13352,11,0,0,0,0
8600000US13353,13353,ZCTA5 13353,3,2,0,0,0
8600000US13354,13354,ZCTA5 13354,1805,145,0,26,33
8600000US13355,13355,ZCTA5 13355,278,47,0,52,0
8600000US13357,13357,ZCTA5 13357,3988,264,14,131,142
8600000US13360,13360,ZCTA5 13360,27,39,0,9,9
8600000US13361,13361,ZCTA5 13361,261,47,0,27,40
8600000US13362,13362,ZCTA5 13362,83,0,0,0,15
8600000US13363,13363,ZCTA5 13363,936,45,0,0,31
8600000US13364,13364,ZCTA5 13364,65,4,0,0,0
8600000US13365,13365,ZCTA5 13365,2832,482,93,161,215
8600000US13367,13367,ZCTA5 13367,2816,342,0,344,204
8600000US13368,13368,ZCTA5 13368,399,35,0,20,15
8600000US13402,13402,ZCTA5 13402,761,40,0,22,8
8600000US13403,13403,ZCTA5 13403,1931,102,29,22,238
8600000US13404,13404,ZCTA5 13404,45,4,0,3,0
8600000US13406,13406,ZCTA5 13406,226,10,0,14,15
