GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
8600000US10580,10580,ZCTA5 10580,3427,340,2186,193,463
8600000US10583,10583,ZCTA5 10583,8861,896,6254,316,1594
8600000US10588,10588,ZCTA5 10588,1018,57,40,0,104
8600000US10589,10589,ZCTA5 10589,2443,299,350,25,275
8600000US10590,10590,ZCTA5 10590,2593,130,320,105,303
8600000US10591,10591,ZCTA5 10591,6223,816,2472,1131,498
8600000US10594,10594,ZCTA5 10594,1993,103,252,43,159
8600000US10595,10595,ZCTA5 10595,2118,256,519,202,178
8600000US10596,10596,ZCTA5 10596,505,103,29,52,21
8600000US10597,10597,ZCTA5 10597,469,0,59,0,0
8600000US10598,10598,ZCTA5 10598,11455,930,963,226,794
8600000US10601,10601,ZCTA5 10601,3000,328,1418,855,297
8600000US10603,10603,ZCTA5 10603,6616,861,1384,387,331
8600000US10604,10604,ZCTA5 10604,3947,401,615,282,227
8600000US10605,10605,ZCTA5 10605,5918,728,1504,530,441
8600000US10606,10606,ZCTA5 10606,4205,935,2029,694,403
8600000US10607,10607,ZCTA5 10607,2515,169,544,65,198
8600000US10701,10701,ZCTA5 10701,12589,2448,7342,1344,655
8600000US10703,10703,ZCTA5 10703,5033,1167,1550,315,151
8600000US10704,10704,ZCTA5 10704,9507,1474,3753,603,265
8600000US10705,10705,ZCTA5 10705,8064,1349,5266,1249,329
8600000US10706,10706,ZCTA5 10706,2228,209,1231,184,356
8600000US10707,10707,ZCTA5 10707,2835,79,1784,296,242
8600000US10708,10708,ZCTA5 10708,5209,468,3768,659,524
8600000US10709,10709,ZCTA5 10709,3236,118,838,171,183
8600000US10710,10710,ZCTA5 10710,8707,1442,2342,357,375
8600000US10801,10801,ZCTA5 10801,10139,2071,4567,1867,701
8600000US10803,10803,ZCTA5 10803,3431,525,1633,178,267
8600000US10804,10804,ZCTA5 10804,3954,336,1699,230,822
