GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US12765,12765,ZCTA5 12765,1230,293,1135,302,35,49,0,11,0,11,0,11,0,11,60,72,0,11,60,72
8600000US12766,12766,ZCTA5 12766,364,182,364,182,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12767,12767,ZCTA5 12767,86,54,86,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12768,12768,ZCTA5 12768,697,253,662,254,24,37,11,17,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12769,12769,ZCTA5 12769,188,119,188,119,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12770,12770,ZCTA5 12770,166,70,166,70,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12771,12771,ZCTA5 12771,14061,459,10981,749,1329,478,13,22,376,220,0,18,445,259,917,314,231,181,686,249
8600000US12775,12775,ZCTA5 12775,2354,304,2056,302,47,51,0,11,168,128,0,11,59,87,24,34,0,11,24,34
8600000US12776,12776,ZCTA5 12776,2327,342,2195,344,18,23,18,24,4,9,0,11,8,16,84,69,0,11,84,69
8600000US12777,12777,ZCTA5 12777,857,161,823,156,7,8,0,11,23,24,0,11,0,11,4,6,0,11,4,6
8600000US12778,12778,ZCTA5 12778,634,332,592,330,0,11,0,11,27,39,0,11,0,11,15,24,15,24,0,11
8600000US12779,12779,ZCTA5 12779,2274,606,1190,415,465,232,0,11,0,11,0,11,354,297,265,362,0,11,265,362
8600000US12780,12780,ZCTA5 12780,2064,351,1828,338,85,112,0,11,0,11,0,11,121,89,30,49,30,49,0,11
8600000US12781,12781,ZCTA5 12781,281,167,231,160,40,44,0,11,0,11,0,11,10,18,0,11,0,11,0,11
8600000US12783,12783,ZCTA5 12783,2044,396,1675,378,133,66,0,11,73,66,0,11,93,111,70,58,11,15,59,56
8600000US12784,12784,ZCTA5 12784,38,43,38,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12785,12785,ZCTA5 12785,939,320,935,319,4,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12786,12786,ZCTA5 12786,450,212,366,184,0,11,23,34,0,11,0,11,61,92,0,11,0,11,0,11
8600000US12787,12787,ZCTA5 12787,244,128,239,128,0,11,0,11,5,10,0,11,0,11,0,11,0,11,0,11
8600000US12788,12788,ZCTA5 12788,3038,472,2011,450,628,154,29,30,12,17,0,11,125,103,233,144,18,20,215,136
8600000US12789,12789,ZCTA5 12789,2059,380,1645,359,145,86,0,11,57,60,0,11,40,39,172,78,3,6,169,78
8600000US12790,12790,ZCTA5 12790,4397,540,3984,516,169,108,17,23,69,101,0,11,100,130,58,46,0,11,58,46
8600000US12791,12791,ZCTA5 12791,869,261,755,245,12,24,0,11,57,65,0,11,0,11,45,59,0,11,45,59
8600000US12792,12792,ZCTA5 12792,227,145,225,144,0,11,0,11,2,4,0,11,0,11,0,11,0,11,0,11
8600000US12801,12801,ZCTA5 12801,14422,21,13525,208,203,89,43,35,185,117,57,51,63,56,346,134,22,19,324,136
8600000US12803,12803,ZCTA5 12803,8386,339,8152,367,146,117,0,16,30,65,0,16,34,48,24,30,0,16,24,30
8600000US12804,12804,ZCTA5 12804,26477,264,25455,372,401,160,125,116,317,149,0,21,29,28,150,81,43,39,107,69
8600000US12808,12808,ZCTA5 12808,399,101,399,101,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12809,12809,ZCTA5 12809,3385,142,3341,144,17,17,0,11,0,11,0,11,0,11,27,20,1,2,26,19
8600000US12810,12810,ZCTA5 12810,728,116,720,117,0,11,0,11,3,4,0,11,0,11,5,6,0,11,5,6
8600000US12811,12811,ZCTA5 12811,68,79,65,79,0,11,0,11,0,11,0,11,0,11,3,5,0,11,3,5
8600000US12812,12812,ZCTA5 12812,81,48,81,48,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12814,12814,ZCTA5 12814,1222,255,1105,247,14,23,0,11,18,32,0,11,85,79,0,11,0,11,0,11
8600000US12815,12815,ZCTA5 12815,1084,176,1026,169,5,7,0,11,0,11,0,11,0,11,53,44,0,11,53,44
8600000US12816,12816,ZCTA5 12816,4306,318,4174,320,37,34,0,11,2,3,0,11,3,6,90,79,0,11,90,79
8600000US12817,12817,ZCTA5 12817,2281,393,2281,393,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12819,12819,ZCTA5 12819,330,75,321,76,0,11,0,11,5,6,0,11,0,11,4,6,0,11,4,6
8600000US12821,12821,ZCTA5 12821,2940,264,1120,226,1416,164,7,11,25,23,0,11,196,62,176,64,5,10,171,64
8600000US12822,12822,ZCTA5 12822,6382,216,6157,236,69,86,0,16,0,16,0,16,17,27,139,84,0,16,139,84
8600000US12823,12823,ZCTA5 12823,386,276,386,276,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12824,12824,ZCTA5 12824,1165,185,1156,185,9,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12827,12827,ZCTA5 12827,3754,392,3603,392,63,67,4,6,5,9,0,11,0,11,79,60,22,36,57,44
8600000US12828,12828,ZCTA5 12828,8762,567,8621,542,58,79,0,16,0,16,0,16,16,27,67,57,19,25,48,53
8600000US12831,12831,ZCTA5 12831,17438,755,16747,759,363,195,0,18,30,44,0,18,136,99,162,102,4,7,158,104
8600000US12832,12832,ZCTA5 12832,6798,363,6543,370,50,47,54,43,76,54,0,16,23,30,52,39,0,16,52,39
8600000US12833,12833,ZCTA5 12833,4182,369,3958,387,13,18,19,26,43,35,0,11,0,11,149,75,25,32,124,69
8600000US12834,12834,ZCTA5 12834,6287,383,6109,378,6,6,54,57,82,79,0,16,1,3,35,30,25,30,10,14
8600000US12835,12835,ZCTA5 12835,2257,185,2184,174,7,10,0,11,0,11,0,11,5,8,61,63,0,11,61,63
8600000US12836,12836,ZCTA5 12836,605,107,592,104,0,11,0,11,6,8,0,11,0,11,7,10,0,11,7,10
8600000US12837,12837,ZCTA5 12837,1018,348,1003,347,12,17,0,11,0,11,0,11,1,3,2,4,0,11,2,4
8600000US12838,12838,ZCTA5 12838,523,110,521,109,0,11,0,11,0,11,0,11,0,11,2,5,0,11,2,5
8600000US12839,12839,ZCTA5 12839,13525,449,12783,443,336,197,31,47,0,18,0,18,88,77,287,113,16,19,271,111
8600000US12841,12841,ZCTA5 12841,106,35,106,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12842,12842,ZCTA5 12842,933,248,839,226,3,4,5,7,0,11,0,11,0,11,86,83,0,11,86,83
8600000US12843,12843,ZCTA5 12843,451,129,421,115,0,11,0,11,0,11,0,11,0,11,30,48,0,11,30,48
8600000US12844,12844,ZCTA5 12844,238,104,222,104,8,10,0,11,3,6,0,11,2,4,3,7,0,11,3,7
8600000US12845,12845,ZCTA5 12845,4725,237,4572,236,49,31,3,5,42,40,0,11,7,12,52,31,8,13,44,29
8600000US12846,12846,ZCTA5 12846,3273,51,3262,55,11,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12847,12847,ZCTA5 12847,425,92,413,95,12,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12849,12849,ZCTA5 12849,265,181,259,181,6,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12850,12850,ZCTA5 12850,3221,382,3110,384,6,9,0,11,7,10,0,11,48,76,50,49,25,42,25,23
8600000US12851,12851,ZCTA5 12851,227,49,225,48,0,11,1,2,0,11,0,11,0,11,1,3,0,11,1,3
8600000US12852,12852,ZCTA5 12852,474,70,466,70,2,4,5,9,1,2,0,11,0,11,0,11,0,11,0,11
8600000US12853,12853,ZCTA5 12853,1347,312,1316,315,0,11,0,11,0,11,0,11,0,11,31,36,0,11,31,36
8600000US12855,12855,ZCTA5 12855,198,37,197,38,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12856,12856,ZCTA5 12856,131,89,131,89,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12857,12857,ZCTA5 12857,608,198,608,198,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12858,12858,ZCTA5 12858,66,39,66,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12859,12859,ZCTA5 12859,2212,395,2162,402,0,11,0,11,0,11,0,11,0,11,50,74,0,11,50,74
8600000US12860,12860,ZCTA5 12860,578,209,551,199,7,11,0,11,0,11,0,11,0,11,20,28,0,11,20,28
8600000US12861,12861,ZCTA5 12861,771,97,771,97,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12862,12862,ZCTA5 12862,5,7,5,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12863,12863,ZCTA5 12863,554,148,554,148,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12864,12864,ZCTA5 12864,18,19,18,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12865,12865,ZCTA5 12865,3769,286,3597,272,32,48,9,12,37,47,0,11,23,23,71,37,11,16,60,35
8600000US12866,12866,ZCTA5 12866,38422,725,35584,831,624,212,57,51,1262,334,0,24,102,70,793,256,176,147,617,212
8600000US12870,12870,ZCTA5 12870,1044,342,980,359,5,8,2,4,17,17,0,11,30,54,10,11,0,11,10,11
8600000US12871,12871,ZCTA5 12871,4249,324,3976,352,179,151,8,10,40,45,0,11,2,4,44,36,0,11,44,36
8600000US12872,12872,ZCTA5 12872,44,45,42,44,0,11,0,11,0,11,0,11,0,11,2,4,0,11,2,4
8600000US12873,12873,ZCTA5 12873,716,135,714,135,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12874,12874,ZCTA5 12874,159,43,156,41,0,11,0,11,0,11,0,11,0,11,3,7,0,11,3,7
8600000US12878,12878,ZCTA5 12878,716,126,678,113,11,17,0,11,11,11,0,11,0,11,16,14,6,7,10,12
8600000US12883,12883,ZCTA5 12883,4971,19,4871,73,35,47,9,12,28,36,0,11,0,11,28,22,0,11,28,22
8600000US12884,12884,ZCTA5 12884,373,101,356,95,16,18,0,11,0,11,0,11,0,11,1,4,0,11,1,4
8600000US12885,12885,ZCTA5 12885,4531,256,4451,251,39,37,0,11,13,27,0,11,0,11,28,23,0,11,28,23
8600000US12886,12886,ZCTA5 12886,216,100,208,100,0,11,0,11,0,11,0,11,0,11,8,11,0,11,8,11
8600000US12887,12887,ZCTA5 12887,4788,145,4694,154,50,75,2,5,0,11,0,11,32,32,10,11,5,7,5,8
8600000US12901,12901,ZCTA5 12901,33544,720,30313,759,1236,213,76,49,713,123,0,24,414,166,792,209,19,22,773,209
8600000US12903,12903,ZCTA5 12903,1019,160,977,159,11,19,0,11,22,22,0,11,0,11,9,16,0,11,9,16
8600000US12910,12910,ZCTA5 12910,2181,216,1852,227,191,51,10,13,4,7,2,5,97,42,25,21,7,9,18,18
8600000US12911,12911,ZCTA5 12911,27,38,27,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US12912,12912,ZCTA5 12912,2280,406,2243,406,6,9,0,11,0,11,0,11,0,11,31,33,0,11,31,33
8600000US12913,12913,ZCTA5 12913,1219,195,1204,195,7,11,0,11,0,11,0,11,4,7,4,6,0,11,4,6
